level1_code,level1_name,level2_code,level2_name,level3_code,level3_name
270000,电子,270300,光学光电子,270303,光学元件
270000,电子,270400,其他电子,270401,其他电子
270000,电子,270500,电子制造,270501,电子系统组装
270000,电子,270500,电子制造,270502,电子零部件制造
280000,汽车,280100,汽车整车,280101,乘用车
280000,汽车,280100,汽车整车,280102,商用载货车
280000,汽车,280100,汽车整车,280103,商用载客车
280000,汽车,280200,汽车零部件,280201,汽车零部件
280000,汽车,280300,汽车服务,280301,汽车服务
280000,汽车,280400,其他交运设备,280401,其他交运设备
330000,家用电器,330100,白色家电,330101,冰箱
330000,家用电器,330100,白色家电,330102,空调
330000,家用电器,330100,白色家电,330103,洗衣机
330000,家用电器,330100,白色家电,330104,小家电
330000,家用电器,330100,白色家电,330105,家电零部件
330000,家用电器,330200,视听器材,330201,彩电
330000,家用电器,330200,视听器材,330202,其它视听器材
340000,食品饮料,340300,饮料制造,340301,白酒
340000,食品饮料,340300,饮料制造,340302,啤酒
340000,食品饮料,340300,饮料制造,340303,其他酒类
340000,食品饮料,340300,饮料制造,340304,软饮料
340000,食品饮料,340300,饮料制造,340305,葡萄酒
340000,食品饮料,340300,饮料制造,340306,黄酒
340000,食品饮料,340400,食品加工,340401,肉制品
340000,食品饮料,340400,食品加工,340402,调味发酵品
340000,食品饮料,340400,食品加工,340403,乳品
340000,食品饮料,340400,食品加工,340404,食品综合
350000,纺织服装,350100,纺织制造,350101,毛纺
350000,纺织服装,350100,纺织制造,350102,棉纺
350000,纺织服装,350100,纺织制造,350103,丝绸
350000,纺织服装,350100,纺织制造,350104,印染
350000,纺织服装,350100,纺织制造,350105,辅料
350000,纺织服装,350100,纺织制造,350106,其他纺织
350000,纺织服装,350200,服装家纺,350202,男装
350000,纺织服装,350200,服装家纺,350203,女装
350000,纺织服装,350200,服装家纺,350204,休闲服装
350000,纺织服装,350200,服装家纺,350205,鞋帽
350000,纺织服装,350200,服装家纺,350206,家纺
350000,纺织服装,350200,服装家纺,350207,其他服装
360000,轻工制造,360100,造纸,360101,造纸
360000,轻工制造,360200,包装印刷,360201,包装印刷
360000,轻工制造,360300,家用轻工,360302,家具
360000,轻工制造,360300,家用轻工,360303,其他家用轻工
360000,轻工制造,360300,家用轻工,360304,珠宝首饰
360000,轻工制造,360300,家用轻工,360305,文娱用品
360000,轻工制造,360400,其他轻工制造,360401,其他轻工制造
370000,医药生物,370100,化学制药,370101,化学原料药
370000,医药生物,370100,化学制药,370102,化学制剂
370000,医药生物,370200,中药,370201,中药
370000,医药生物,370300,生物制品,370301,生物制品
370000,医药生物,370400,医药商业,370401,医药商业
370000,医药生物,370500,医疗器械,370501,医疗器械
370000,医药生物,370600,医疗服务,370601,医疗服务
410000,公用事业,410100,电力,410101,火电
410000,公用事业,410100,电力,410102,水电
410000,公用事业,410100,电力,410103,燃机发电
410000,公用事业,410100,电力,410104,热电
410000,公用事业,410100,电力,410105,新能源发电
410000,公用事业,410200,水务,410201,水务
410000,公用事业,410300,燃气,410301,燃气
410000,公用事业,410400,环保工程及服务,410401,环保工程及服务
420000,交通运输,420100,港口,420101,港口
420000,交通运输,420200,高速公路,420201,高速公路
420000,交通运输,420300,公交,420301,公交
420000,交通运输,420400,航空运输,420401,航空运输
420000,交通运输,420500,机场,420501,机场
420000,交通运输,420600,航运,420601,航运
420000,交通运输,420700,铁路运输,420701,铁路运输
420000,交通运输,420800,物流,420801,物流
430000,房地产,430100,房地产开发,430101,房地产开发
430000,房地产,430200,园区开发,430201,园区开发
450000,商业贸易,450200,贸易,450201,贸易
450000,商业贸易,450300,一般零售,450301,百货
450000,商业贸易,450300,一般零售,450302,超市
450000,商业贸易,450300,一般零售,450303,多业态零售
450000,商业贸易,450400,专业零售,450401,专业连锁
450000,商业贸易,450500,商业物业经营,450501,一般物业经营
450000,商业贸易,450500,商业物业经营,450502,专业市场
460000,休闲服务,460100,景点,460101,人工景点
460000,休闲服务,460100,景点,460102,自然景点
460000,休闲服务,460200,酒店,460201,酒店
460000,休闲服务,460300,旅游综合,460301,旅游综合
460000,休闲服务,460400,餐饮,460401,餐饮
460000,休闲服务,460500,其他休闲服务,460501,其他休闲服务
480000,银行,480100,银行,480101,银行
490000,非银金融,490100,证券,490101,证券
490000,非银金融,490200,保险,490201,保险
490000,非银金融,490300,多元金融,490301,多元金融
510000,综合,510100,综合,510101,综合
610000,建筑材料,610100,水泥制造,610101,水泥制造
610000,建筑材料,610200,玻璃制造,610201,玻璃制造
610000,建筑材料,610300,其他建材,610301,耐火材料
610000,建筑材料,610300,其他建材,610302,管材
610000,建筑材料,610300,其他建材,610303,其他建材
620000,建筑装饰,620100,房屋建设,620101,房屋建设
620000,建筑装饰,620200,装修装饰,620201,装修装饰
620000,建筑装饰,620300,基础建设,620301,城轨建设
620000,建筑装饰,620300,基础建设,620302,路桥施工
620000,建筑装饰,620300,基础建设,620303,水利工程
620000,建筑装饰,620300,基础建设,620304,铁路建设
620000,建筑装饰,620300,基础建设,620305,其他基础建设
620000,建筑装饰,620400,专业工程,620401,钢结构
620000,建筑装饰,620400,专业工程,620402,化学工程
620000,建筑装饰,620400,专业工程,620403,国际工程承包
620000,建筑装饰,620400,专业工程,620404,其他专业工程
620000,建筑装饰,620500,园林工程,620501,园林工程
630000,电气设备,630100,电机,630101,电机
630000,电气设备,630200,电气自动化设备,630201,电网自动化
630000,电气设备,630200,电气自动化设备,630202,工控自动化
630000,电气设备,630200,电气自动化设备,630203,计量仪表
630000,电气设备,630300,电源设备,630301,综合电力设备商
630000,电气设备,630300,电源设备,630302,风电设备
630000,电气设备,630300,电源设备,630303,光伏设备
630000,电气设备,630300,电源设备,630304,火电设备
630000,电气设备,630300,电源设备,630305,储能设备
630000,电气设备,630300,电源设备,630306,其它电源设备
630000,电气设备,630400,高低压设备,630401,高压设备
630000,电气设备,630400,高低压设备,630402,中压设备
630000,电气设备,630400,高低压设备,630403,低压设备
630000,电气设备,630400,高低压设备,630404,线缆部件及其他
640000,机械设备,640100,通用机械,640101,机床工具
640000,机械设备,640100,通用机械,640102,机械基础件
640000,机械设备,640100,通用机械,640103,磨具磨料
640000,机械设备,640100,通用机械,640104,内燃机
640000,机械设备,640100,通用机械,640105,制冷空调设备
640000,机械设备,640100,通用机械,640106,其它通用机械
640000,机械设备,640200,专用设备,640201,工程机械
640000,机械设备,640200,专用设备,640202,重型机械
640000,机械设备,640200,专用设备,640203,冶金矿采化工设备
640000,机械设备,640200,专用设备,640204,楼宇设备
640000,机械设备,640200,专用设备,640205,环保设备
640000,机械设备,640200,专用设备,640206,纺织服装设备
640000,机械设备,640200,专用设备,640207,农用机械
640000,机械设备,640200,专用设备,640208,印刷包装机械
640000,机械设备,640200,专用设备,640209,其它专用机械
640000,机械设备,640300,仪器仪表,640301,仪器仪表
640000,机械设备,640400,金属制品,640401,金属制品
640000,机械设备,640500,运输设备,640501,铁路设备
650000,国防军工,650100,航天装备,650101,航天装备
650000,国防军工,650200,航空装备,650201,航空装备
650000,国防军工,650300,地面兵装,650301,地面兵装
650000,国防军工,650400,船舶制造,650401,船舶制造
710000,计算机,710100,计算机设备,710101,计算机设备
710000,计算机,710200,计算机应用,710201,软件开发
710000,计算机,710200,计算机应用,710202,IT服务
720000,传媒,720100,文化传媒,720101,平面媒体
720000,传媒,720100,文化传媒,720102,影视动漫
720000,传媒,720100,文化传媒,720103,有线电视网络
720000,传媒,720100,文化传媒,720104,其他文化传媒
720000,传媒,720200,营销传播,720201,营销服务
720000,传媒,720300,互联网传媒,720301,互联网信息服务
720000,传媒,720300,互联网传媒,720302,移动互联网服务
720000,传媒,720300,互联网传媒,720303,其他互联网服务
730000,通信,730100,通信运营,730101,通信运营
730000,通信,730200,通信设备,730201,终端设备
730000,通信,730200,通信设备,730202,通信传输设备
730000,通信,730200,通信设备,730203,通信配套服务
