code,level_1,level_2,level_3
461102,社会服务,教育,培训教育
461103,社会服务,教育,教育运营及其他
480000,银行,,
480200,银行,国有大型银行Ⅱ,
480201,银行,国有大型银行Ⅱ,国有大型银行Ⅲ
480300,银行,股份制银行Ⅱ,
480301,银行,股份制银行Ⅱ,股份制银行Ⅲ
480400,银行,城商行Ⅱ,
480401,银行,城商行Ⅱ,城商行Ⅲ
480500,银行,农商行Ⅱ,
480501,银行,农商行Ⅱ,农商行Ⅲ
480600,银行,其他银行Ⅱ,
480601,银行,其他银行Ⅱ,其他银行Ⅲ
490000,非银金融,,
490100,非银金融,证券Ⅱ,
490101,非银金融,证券Ⅱ,证券Ⅲ
490200,非银金融,保险Ⅱ,
490201,非银金融,保险Ⅱ,保险Ⅲ
490300,非银金融,多元金融,
490302,非银金融,多元金融,金融控股
490303,非银金融,多元金融,期货
490304,非银金融,多元金融,信托
490305,非银金融,多元金融,租赁
490306,非银金融,多元金融,金融信息服务
490307,非银金融,多元金融,资产管理
490308,非银金融,多元金融,其他多元金融
510000,综合,,
510100,综合,综合Ⅱ,
510101,综合,综合Ⅱ,综合Ⅲ
610000,建筑材料,,
610100,建筑材料,水泥,
610101,建筑材料,水泥,水泥制造
610102,建筑材料,水泥,水泥制品
610200,建筑材料,玻璃玻纤,
610201,建筑材料,玻璃玻纤,玻璃制造
610202,建筑材料,玻璃玻纤,玻纤制造
610300,建筑材料,装修建材,
610301,建筑材料,装修建材,耐火材料
610302,建筑材料,装修建材,管材
610303,建筑材料,装修建材,其他建材
610304,建筑材料,装修建材,防水材料
610305,建筑材料,装修建材,涂料
620000,建筑装饰,,
620100,建筑装饰,房屋建设Ⅱ,
620101,建筑装饰,房屋建设Ⅱ,房屋建设Ⅲ
620200,建筑装饰,装修装饰Ⅱ,
350102,纺织服饰,纺织制造,棉纺
620201,建筑装饰,装修装饰Ⅱ,装修装饰Ⅲ
620300,建筑装饰,基础建设,
620306,建筑装饰,基础建设,基建市政工程
620400,建筑装饰,专业工程,
620401,建筑装饰,专业工程,钢结构
620402,建筑装饰,专业工程,化学工程
620403,建筑装饰,专业工程,国际工程
620404,建筑装饰,专业工程,其他专业工程
620307,建筑装饰,基础建设,园林工程
620600,建筑装饰,工程咨询服务Ⅱ,
620601,建筑装饰,工程咨询服务Ⅱ,工程咨询服务Ⅲ
630000,电力设备,,
630100,电力设备,电机Ⅱ,
630101,电力设备,电机Ⅱ,电机Ⅲ
630300,电力设备,其他电源设备Ⅱ,
630301,电力设备,其他电源设备Ⅱ,综合电力设备商
630304,电力设备,其他电源设备Ⅱ,火电设备
630306,电力设备,其他电源设备Ⅱ,其他电源设备Ⅲ
630500,电力设备,光伏设备,
630501,电力设备,光伏设备,硅料硅片
630502,电力设备,光伏设备,光伏电池组件
630503,电力设备,光伏设备,逆变器
630504,电力设备,光伏设备,光伏辅材
630505,电力设备,光伏设备,光伏加工设备
630600,电力设备,风电设备,
630601,电力设备,风电设备,风电整机
630602,电力设备,风电设备,风电零部件
630700,电力设备,电池,
630701,电力设备,电池,锂电池
630702,电力设备,电池,电池化学品
630703,电力设备,电池,锂电专用设备
630704,电力设备,电池,燃料电池
630705,电力设备,电池,蓄电池及其他电池
630800,电力设备,电网设备,
630801,电力设备,电网设备,输变电设备
630802,电力设备,电网设备,配电设备
630803,电力设备,电网设备,电网自动化设备
630804,电力设备,电网设备,电工仪器仪表
630805,电力设备,电网设备,线缆部件及其他
640000,机械设备,,
640100,机械设备,通用设备,
640101,机械设备,通用设备,机床工具
640103,机械设备,通用设备,磨具磨料
640105,机械设备,通用设备,制冷空调设备
640106,机械设备,通用设备,其他通用设备
640200,机械设备,专用设备,
640203,机械设备,专用设备,能源及重型设备
640204,机械设备,专用设备,楼宇设备
640206,机械设备,专用设备,纺织服装设备
640207,机械设备,专用设备,农用机械
640208,机械设备,专用设备,印刷包装机械
640209,机械设备,专用设备,其他专用设备
640107,机械设备,通用设备,仪器仪表
640108,机械设备,通用设备,金属制品
640500,机械设备,轨交设备Ⅱ,
640501,机械设备,轨交设备Ⅱ,轨交设备Ⅲ
640600,机械设备,工程机械,
640601,机械设备,工程机械,工程机械整机
640602,机械设备,工程机械,工程机械器件
640700,机械设备,自动化设备,
640701,机械设备,自动化设备,机器人
640702,机械设备,自动化设备,工控设备
640703,机械设备,自动化设备,激光设备
640704,机械设备,自动化设备,其他自动化设备
650000,国防军工,,
650100,国防军工,航天装备Ⅱ,
650101,国防军工,航天装备Ⅱ,航天装备Ⅲ
650200,国防军工,航空装备Ⅱ,
650201,国防军工,航空装备Ⅱ,航空装备Ⅲ
650300,国防军工,地面兵装Ⅱ,
650301,国防军工,地面兵装Ⅱ,地面兵装Ⅲ
650400,国防军工,航海装备Ⅱ,
650401,国防军工,航海装备Ⅱ,航海装备Ⅲ
650500,国防军工,军工电子Ⅱ,
650501,国防军工,军工电子Ⅱ,军工电子Ⅲ
710000,计算机,,
710100,计算机,计算机设备,
710102,计算机,计算机设备,安防设备
710103,计算机,计算机设备,其他计算机设备
710300,计算机,IT服务Ⅱ,
710301,计算机,IT服务Ⅱ,IT服务Ⅲ
710400,计算机,软件开发,
710401,计算机,软件开发,垂直应用软件
710402,计算机,软件开发,横向通用软件
720000,传媒,,
720400,传媒,游戏Ⅱ,
720401,传媒,游戏Ⅱ,游戏Ⅲ
720500,传媒,广告营销,
720501,传媒,广告营销,营销代理
720502,传媒,广告营销,广告媒体
720600,传媒,影视院线,
720601,传媒,影视院线,影视动漫制作
720602,传媒,影视院线,院线
720700,传媒,数字媒体,
720701,传媒,数字媒体,视频媒体
720702,传媒,数字媒体,音频媒体
720703,传媒,数字媒体,图片媒体
720704,传媒,数字媒体,门户网站
720705,传媒,数字媒体,文字媒体
720706,传媒,数字媒体,其他数字媒体
720800,传媒,社交Ⅱ,
720801,传媒,社交Ⅱ,社交Ⅲ
720900,传媒,出版,
720901,传媒,出版,教育出版
720902,传媒,出版,大众出版
720903,传媒,出版,其他出版
721000,传媒,电视广播Ⅱ,
721001,传媒,电视广播Ⅱ,电视广播Ⅲ
730000,通信,,
730100,通信,通信服务,
730102,通信,通信服务,电信运营商
730103,通信,通信服务,通信工程及服务
730104,通信,通信服务,通信应用增值服务
730200,通信,通信设备,
730204,通信,通信设备,通信网络设备及器件
730205,通信,通信设备,通信线缆及配套
730206,通信,通信设备,通信终端及配件
730207,通信,通信设备,其他通信设备
740000,煤炭,,
740100,煤炭,煤炭开采,
740101,煤炭,煤炭开采,动力煤
740102,煤炭,煤炭开采,焦煤
740200,煤炭,焦炭Ⅱ,
740201,煤炭,焦炭Ⅱ,焦炭Ⅲ
750000,石油石化,,
750100,石油石化,油气开采Ⅱ,
750101,石油石化,油气开采Ⅱ,油气开采Ⅲ
750200,石油石化,油服工程,
750201,石油石化,油服工程,油田服务
750202,石油石化,油服工程,油气及炼化工程
750300,石油石化,炼化及贸易,
750301,石油石化,炼化及贸易,炼油化工
750302,石油石化,炼化及贸易,油品石化贸易
750303,石油石化,炼化及贸易,其他石化
760000,环保,,
760100,环保,环境治理,
760101,环保,环境治理,大气治理
760102,环保,环境治理,水务及水治理
760103,环保,环境治理,固废治理
760104,环保,环境治理,综合环境治理
760200,环保,环保设备Ⅱ,
760201,环保,环保设备Ⅱ,环保设备Ⅲ
770000,美容护理,,
770100,美容护理,个护用品,
770101,美容护理,个护用品,生活用纸
770102,美容护理,个护用品,洗护用品
770200,美容护理,化妆品,
770201,美容护理,化妆品,化妆品制造及其他
770202,美容护理,化妆品,品牌化妆品
770300,美容护理,医疗美容,
770301,美容护理,医疗美容,医美耗材
770302,美容护理,医疗美容,医美服务
